"","cod_mun","tot_vacinado","F","M","I","dose1_F","dose2_F","reforco_F","dose1_M","dose2_M","reforco_M","dose1_I","dose2_I","reforco_I"
"126","130360",22500,11183,11317,0,4801,3941,2441,5036,4024,2257,0,0,0
"127","130370",21259,10603,10656,0,6183,2957,1463,6478,2832,1346,0,0,0
"128","130380",82240,41696,40544,0,19985,15129,6582,19761,14396,6387,0,0,0
"129","130390",33624,17004,16620,0,8847,5745,2412,9124,5466,2030,0,0,0
"130","130395",17690,8743,8947,0,3600,3240,1903,3900,3315,1732,0,0,0
"131","130400",20830,9776,11054,0,4053,3534,2189,4677,3994,2383,0,0,0
"132","130406",65511,33397,32111,3,18789,11192,3416,18197,10664,3250,2,1,0
"133","130410",14494,7443,7051,0,3811,2758,874,3640,2572,839,0,0,0
"134","130420",127665,66671,60994,0,29226,23535,13910,28233,21656,11105,0,0,0
"135","130423",26313,13003,13310,0,6010,4538,2455,6426,4636,2248,0,0,0
"136","130426",16992,8942,8050,0,4325,3143,1474,4186,2761,1103,0,0,0
"137","130430",29683,14830,14853,0,6292,5379,3159,6483,5469,2901,0,0,0
"138","130440",31483,15624,15859,0,6715,5847,3062,7234,5954,2671,0,0,0
"139","140002",13175,6474,6700,1,3330,2466,678,3529,2525,646,1,0,0
"140","140005",21453,10749,10704,0,5367,4120,1262,5586,3957,1161,0,0,0
"141","140010",629748,332146,297597,5,159381,124428,48337,150024,109334,38239,3,2,0
"142","140015",20529,10230,10299,0,5150,3960,1120,5352,3913,1034,0,0,0
"143","140017",19277,9668,9609,0,4661,3568,1439,4836,3442,1331,0,0,0
"144","140020",22942,11444,11498,0,5677,4309,1458,5950,4179,1369,0,0,0
"145","140023",9984,5176,4808,0,2599,1956,621,2451,1722,635,0,0,0
"146","140028",9694,4832,4862,0,2324,1830,678,2439,1768,655,0,0,0
"147","140030",24088,12710,11378,0,6051,4751,1908,5690,4155,1533,0,0,0
"148","140040",11090,5791,5299,0,3048,2235,508,2896,2004,399,0,0,0
"149","140045",73361,34356,39003,2,18567,11742,4047,21707,12966,4330,1,1,0
"150","140047",28824,14819,14005,0,7522,5736,1561,7359,5212,1434,0,0,0
"151","140050",8410,4321,4089,0,2200,1631,490,2132,1509,448,0,0,0
"152","140060",7272,3616,3656,0,1854,1444,318,1938,1389,329,0,0,0
"153","140070",10738,5591,5147,0,3022,2163,406,2901,1977,269,0,0,0
"154","150010",287125,148024,139101,0,65908,56566,25550,64502,53393,21206,0,0,0
"155","150013",10309,5219,5090,0,2581,1996,642,2624,1910,556,0,0,0
"156","150020",83973,42835,41138,0,20781,16126,5928,21080,15209,4849,0,0,0
"157","150030",59006,29877,29129,0,14131,10902,4844,14486,10610,4033,0,0,0
"158","150034",19222,9397,9825,0,4715,3685,997,5073,3653,1099,0,0,0
"159","150040",90250,46546,43704,0,23629,17952,4965,23057,16376,4271,0,0,0
"160","150050",72156,36328,35828,0,16255,13230,6843,16968,12956,5904,0,0,0
"161","150060",196083,101943,94140,0,48153,38780,15010,46227,34914,12999,0,0,0
"162","150070",50425,27236,23189,0,12100,9667,5469,11398,8320,3471,0,0,0
"163","150080",833979,451552,382426,1,194806,170139,86607,175200,145980,61246,0,1,0
"164","150085",22245,11286,10959,0,5863,4231,1192,5619,4019,1321,0,0,0
"165","150090",81307,42630,38677,0,20012,16015,6603,19284,14362,5031,0,0,0
"166","150095",37974,19262,18712,0,9229,7522,2511,9313,7167,2232,0,0,0
"167","150100",18844,9179,9665,0,4484,3288,1407,4858,3465,1342,0,0,0
"168","150110",36372,18619,17749,4,8790,6665,3164,8888,6266,2595,2,2,0
"169","150120",52726,26738,25988,0,12485,9415,4838,12828,9165,3995,0,0,0
"170","150125",5549,2600,2949,0,1390,944,266,1581,1083,285,0,0,0
"171","150130",266668,137999,128669,0,60232,48972,28795,58142,45831,24696,0,0,0
"172","150140",3100877,1700627,1400245,5,695578,650283,354766,607661,543196,249388,3,1,1
"173","150145",34180,17525,16655,0,7757,6449,3319,7817,6186,2652,0,0,0
"174","150150",110335,59190,51145,0,26728,22963,9499,24326,19834,6985,0,0,0
"175","150157",24343,12327,12016,0,5794,4643,1890,5824,4419,1773,0,0,0
"176","150160",18561,9376,9183,2,4731,3327,1318,4824,3207,1152,1,0,1
"177","150170",220374,117914,102454,6,52944,43694,21276,49372,37739,15343,5,1,0
"178","150172",26356,13289,13067,0,6314,5112,1863,6426,4827,1814,0,0,0
"179","150175",12687,6487,6200,0,2894,2453,1140,2894,2301,1005,0,0,0
"180","150178",58862,29938,28922,2,14987,11178,3773,14865,10497,3560,1,1,0
"181","150180",171906,87827,84079,0,41372,30609,15846,42025,28774,13280,0,0,0
"182","150190",52732,27322,25409,1,11865,10198,5259,11879,9517,4013,0,0,1
"183","150195",26503,13820,12683,0,6853,4910,2057,6616,4414,1653,0,0,0
"184","150200",35573,18140,17433,0,7955,6495,3690,8127,6380,2926,0,0,0
"185","150210",265843,136280,129562,1,57737,47478,31065,58106,45617,25839,0,0,1
"186","150215",102775,49192,53583,0,24445,19437,5310,24895,22307,6381,0,0,0
"187","150220",124287,66293,57994,0,31132,24214,10947,28489,20982,8523,0,0,0
